Tags,Meaning
dottrace,dotTrace is a commercial performance profiler for .NET and .NET Core applications.
editorconfig,EditorConfig helps developers define and maintain consistent coding styles between different editors and IDEs. The EditorConfig project consists of a file format for defining coding styles and a collection of text editor plugins that enable editors to read the file format and adhere to defined styles. EditorConfig files are easily readable and they work nicely with version control systems.
request,A request is a message sent by a source to another object.
ordinal-classification,
stripe-elements,"stripe-element  is a set of prebuilt UI components, like inputs and buttons, for building your checkout flow. It’s available as a feature of Stripe.js"
beego,"Beego is an open-source, high-performance, modular, full-stack web framework for the Go programming language."
luabridge,"LuaBridge is a lightweight, dependency-free library for mapping data, functions, and classes between C++ and Lua."
chat,Generic term for &quot;Instant Messaging System&quot;. It can also represent a discussion that occurs in an Instant Messaging System.
browser-tab,"Refers to issues relating specifically to tabs in a web browser, usually issues that affect multiple tabs or communication between tabs."
fixed-header-tables,Tables in which the first row (typically holding the column names) is fixed (i.e.: it doesn&#39;t scroll).
glassfish-4,Fourth version of the popular Java EE open source application server and the reference implementation of the Java EE 7.
temp,A common directory on a file system which acts as a &quot;scratch area&quot; that can be used to hold files and directories for short periods of time.
number-formatting,"Number formatting is the process of converting a numeric value into a string suitable for display. Things to take into account are the decimal/thousands separator, digit grouping, the shape of the numbers, how a percentage or currency is displayed, and so on. "
strcmp,"strcmp is a string compare function that is available in languages such as C, C++, PHP, Python and MATLAB.
"
uievent,"fA UIEvent object (or, simply, an event object) represents an event in iOS. There are three general types of event: touch events, motion events, and remote-control events. It is declared in UIKit framework. It is available in iOS 2.0 and later "
typescript,"TypeScript is a typed superset of JavaScript that compiles to plain JavaScript. It adds optional types, classes, interfaces, and modules to JavaScript. This tag is for questions specific to TypeScript. It is not used for general JavaScript questions."
unpivot,"UNPIVOT describes a Query Language feature of some Relational Databases. The UNPIVOT feature converts columnar data into row data, and vice versa for the PIVOT feature."
react-native-contacts,
notserializableexception,Exception thrown when an instance is required to have a Serializable interface.
fmi,FMI stands for Functional Mockup Interface.  It is a standard for model exchange and co-simulation.
uitextfielddelegate,The methods declared by the UITextFieldDelegate protocol allow the adopting delegate to respond to messages from the UITextField class.
i18next,i18next is a full-featured i18n javascript library for translating your webapplication.
ontology,"Ontology is a formal representation of knowledge as a set of concepts within a domain, and the relationships between those concepts. Those concepts and relationships create graph-structures and can be described by the lattice theory or other mathematical models."
screen-rotation,"Screen Orientations change in a sensor based (touch) phones, when you rotate. In other phones, developers want to rotate the content, on an event when users click on a button or an option that specifies this function, or as a default option when e.g. when you have written code for landscape orientation and running on device, which has portrait resolution."
github-pages,GitHub pages are static web pages hosted on GitHub.
windows-server-2019,One of Microsoft Windows&#39; server line of operating systems and a successor to Windows Server 2016. Use this tag for questions related to this particular server operating system. 
ado.net-entity-data-model,Covers the Entity Data Model-part of ADO.NET
docx,".docx is the file extension for files created using the default format of Microsoft Word 2007 or higher.

Use this tag when you are working with .docx files programmatically, such as generating .docx, extracting data from .docx or editing a .docx"
kotlin-gradle-plugin,
fortran,"Fortran is a general-purpose, procedural, imperative programming language that is especially suited for numeric computation and scientific computing. Since 2003, standard Fortran also supports object-oriented programming.  This tag should be applied to all questions about the Fortran language; other specific tags can be added for compilers, language revisions and particular aspects of use."
nmcli,
ejb-3.1,This tag is used for question related to the session bean and message-driven bean component types of the EJB 3.1 programming model. 
video-encoding,"This tag should be used for questions related with programmatically handling of video encoding in any format. For questions related to trimming and modifying videos use [video-editing], and [video-processing] for questions related to processing videos with filtering video frames."
indentation,"Indenting is used to organize code by indicating blocks, closures, conditionals, and other constructs. It makes code easier to read, and in some languages is used to handle control flow."
pkce,"Proof Key for Code Exchange by OAuth Public Clients
"
pathname,"Anything related to pathnames. A pathname is a symbolic, hierarchical representation of the location of a file (or other resource) in a filesystem encoded as a string. The rules governing the syntax of pathnames differ among OSes (and sometimes among filesystems). Here is an example for Linux: &quot;/home/user/foo/bar/hello.pdf&quot; and one for Windows: &quot;D:\data\foo\bar\hello.pdf&quot;"
thread-safety,"A piece of code is thread-safe if it only manipulates data structures in a way that allows consistent execution of this code by multiple threads. A code may be thread safe, conditionally safe (mutual exclusion required) or unsafe (can only be safely used by one thread)."
memory-safety,"Memory safety is a concern in software development that aims to avoid software bugs that cause security vulnerabilities dealing with random-access memory (RAM) access, such as buffer overflows and dangling pointers."
autoboxing,"Boxing is the process of using an object to wrap a primitive value so that it can be used as a reference object; extracting a previously-boxed primitive is called unboxing. Auto(un)boxing is a form of &quot;syntactic sugar&quot; where the compiler automatically performs (un)boxing for you, allowing you to use value and referenced types interchangeably."
logback-classic,
ggraph,"ggraph is the &quot;Grammar for Graph Graphics&quot;. At the time of writing, it is an actively maintained library for R that builds upon ggplot2 providing support for relational data structures such as networks, graphs and trees. It provides a concept of layouts to aid in the layout of a graph when visualising it."
mod-jk,mod_jk is the connector used to connect the Tomcat servlet container with web servers using AJP protocol.
git-rewrite-history,"Rewriting the history of a Git repository, for example to edit old commits, remove unwanted data (e.g. private data or large files), rearrange file structure, fix commit metadata, etc."
typeerror,A TypeError is a specific type of error raised when an operation or function is applied to an object of inappropriate type. You might encounter it in Python or JavaScript.
pahocpp,
virtual,An extensible or simulated artifact
jointable,A join table is a table that contains common fields from two or more tables.
layout-inspector,
async-iterator,
synchronized,"A block or method is said to be &#39;synchronized&#39; if entry to it is controlled by the Java `synchronized` keyword. This causes access to it to be restricted to a single thread at a time: when concurrent accesses occur, they are sequentialized in an unspecified order."
count-min-sketch,The count-min sketch is a sketch (a probabilistic data structure summarizing a data stream) useful for finding frequent items in data streams.
flutter-change-notifier,
memory-address,A number used to indicate a particular location in computer&#39;s memory. May also refer to how to access these addresses in memory.
asp.net-core-3.0,"Use this tag for questions specifically related to ASP.NET Core 3.0, in addition to using the &#39;ASP.NET Core&#39; tag. "
teamcity,TeamCity from JetBrains is a continuous integration tool and a distributed Java-based build management system that can be highly beneficial to teams using an agile development approach.
flutterwebviewplugin,
google-geocoder,The Geocoding API is a service that provides geocoding and reverse geocoding of addresses.
memorystream,"A memory stream is a kind of stream that has several methods to access and store data in memory.
"
egg,A python egg is a file used for distributing python projects as bundles; it is usually compressed with the zip algorithm.  Egg files normally include some metadata; the file extension is &quot;.egg&quot;.  The concept is very similar to a Java .jar file.
data-analysis,"Data Analysis involves extracting meaning and insights from raw data. It involves methods and algorithms that examine, clean, transform and model the data to obtain conclusions.
"
output,The externally observable consequences of calling a program on some input
coldfusion-2018,"ColdFusion is a server-side rapid application development platform, from Adobe. ColdFusion 2016 is the current release of CF released on July 12, 2018. "
distributed-transactions,"An operational bundle which consists of multiple ACID transactions, usually on multiple servers, which must all commit or roll back.  A transaction manager coordinates this through two-phase commits."
gobject-introspection,"GObject introspection is a middleware layer between C GObject libraries and language bindings. The C library is scanned at compile time to generate a metadata file. At runtime, language bindings can read this metadata and automatically provide bindings to call into the native C library."
set,"A set is a collection in which no element is repeated, which may be able to enumerate its elements according to an ordering criterion (an &quot;ordered set&quot;) or retain no order (an &quot;unordered set&quot;)."
kernel,"In computing, the kernel is a computer program that manages input/output requests from software, and translates them into data processing instructions for the central processing unit and other electronic components of a computer. The kernel is a fundamental part of a modern computer&#39;s operating system.


This tag is for general questions regarding code that runs in the context of an operating system kernel."
application.properties,application.properties is the configuration file to configure dynamic properties for the application. It holds configuration properties in the form of key-value pair
flask-jwt-extended,Flask-JWT-Extended is an opinionated Flask extension that adds support for using JSON Web Tokens (JWT) to protect views. It also many helpful (and optional) features built in to make working with JSON Web Tokens easier.
loader,Loaders make it easy to asynchronously load data in an activity or fragment.
inspector,Inspector is a general support tool for Appium for UI automation designed to be used in conjunction with the Appium Server. It&#39;s helpful in inspecting the U elements and their attribute values. Use this tag for questions referring to Appium automation and inspecting UI elements using the support tool Inspector.
provider,"DO NOT USE —&#160;this tag is being cleaned up. Use [android-contentprovider], [flutter-provider], [provider-model], or whatever more specific tag is appropriate instead."
terraform-provider-cloudflare,
nginx-location,Questions related to nginx location directive should use this tag.
jscript,"JScript is a scripting language based on the ECMAScript standard, created by Microsoft and implemented in a range of environments. You would expect this tag to accompany questions regarding these environments, such as Windows Script Host (WSH), Active Server Pages (ASP) and HTML Applications (HTA)."
css-modules,CSS Modules is a pre-processor that allows for emulation of local scope and control dependencies in CSS code.
android-navigation-graph,
angular-ng-class,
smallrye-reactive-messaging,
maven-3,"Apache Maven is a tool for project management and build automation. This tag is for questions relating to Maven version 3.x.  For non version-specific questions, please use the [maven] tag."
absinthe-subscription,
aws-sdk-java-2.0,
google-play-console-beta,
flower,Flower is a real-time web based monitor and administration tool for Celery.
api-linkpreview,
samtools,Samtools is a suite of programs for interacting with high-throughput sequencing data.
superset,Superset is an open source business intelligence web application that allows data exploration
yahoo-finance,PLEASE NOTE : THIS API HAS BEEN DISCONTINUED BY YAHOO. Yahoo! Finance is a service from Yahoo! that provides financial information. It is the top financial news and research website in the United States.
grouplayout,GroupLayout is a Java Swing LayoutManager that hierarchically groups components in order to position them in a Container.
memory-leaks,A memory leak occurs when a program fails to release memory that it has allocated but is no longer using and is not recoverable.
glmmtmb,"glmmTMB is an R package for fitting and analyzing linear, nonlinear and generalized linear mixed models."
exceljs,"Node package to read, manipulate and write spreadsheet data and styles to XLSX and JSON. "
dna-sequence,"A string representing the nucleotide sequence of the deoxyribonucleic acid, the molecule that holds the genes that constitute the genetic code."
google-sheets-importxml,Use for questions about the Google Sheets built-in function IMPORTXML. Don&#39;t use for questions that use other methods to import XML content.
vue-chartjs,vue-chartjs is a Vue.js wrapper for Chart.js. It allows you to create reuseable chart components in Vue.js
recv,BSD Sockets function used for receiving data from a TCP socket.
comments,"A comment is a programming language construct used to embed non-compiled, programmer-readable annotations in the source code of a computer program."
office365,"Microsoft Office 365 includes service APIs for the hosted versions of Exchange Server, SharePoint, Lync, and Yammer. These APIs give you access to Files, Sites, Calendar, Contact, Mail, Notes and other data stored in Office 365. Many of these are also available via the Microsoft Graph.  Additionally, there are APIs for integrating with add-ins for SharePoint, Word, Excel, PowerPoint, Outlook, and OneNote."
transpose,Transposition is an operation that applies to matrices wherein the rows and columns are swapped
windows-10-desktop,the tag windows-10-desktop is for questions concerning application development for the Windows 10 Desktop. Windows 10 Desktop development uses the Win32 API and provides a user interface similar to a traditional Windows UI that supports and may require the use of a keyboard and mouse. Along with this tag should be a tag indicating the language being used and the platform such as .NET. This tag is not used for posts concerning WinRT application development.
uml,"Unified Modeling Language, an object-oriented modeling and specification language used in software engineering.

For questions about user-mode Linux, use the [user-mode-linux] tag."
figure,"A container for images, plots or other graphical elements with some optional meta-information."
db2,"DB2 is a family of database servers developed by IBM. Supported platforms for DB2 servers are z/OS (formerly OS/390), Linux, UNIX, and Windows (referred to collectively as DB2 for LUW), and IBM i (formerly OS/400 or i5/OS). Originally designed as a relational engine, IBM has expanded DB2&#39;s capabilities on some platforms to include native XML support and an RDF-compliant graph store. When posting DB2 questions, please specify the platform and version."
git-fork,"git-fork refers to creating a new git repository based on the current one. NOTE: some details depend on whether you are using GitHub, Bitbucket, GitLab, or whatever other hosting systems; consider adding an appropriate additional tag correspondingly."
cntk,"Microsoft Cognitive Toolkit (CNTK) is an open source library for commercial-grade distributed deep learning. It became open source in January 2016. In March, 2019, Microsoft announced that version 2.7 was to be the last release of CNTK."
tedious,"Node Module - Tedious it is used to interact with instances of Microsoft&#39;s SQL Server.
"
eli5,ELI5 is a Python library which allows to visualize and debug various machine learning models using a unified API
uiaccessibility,"UIAccessibility is an informal protocol in UIKit that provides accessibility information about user interface elements. This information is used by VoiceOver and other assistive technologies to help users with disabilities interact with your application.
All of the standard views and controls in UIKit implement UIAccessibility, so applications are accessible by default."
service-level-agreement,"A service-level agreement (SLA) is a commitment between a service provider and a client. Particular aspects of the service – quality, availability, responsibilities – are agreed between the service provider and the service user. The most common component of SLA is that the services should be provided to the customer as agreed upon in the contract"
geotools,"GeoTools is an open source Java library that provides tools for geospatial data (http://geotools.org). Questions about programming using GeoTools are on topic here, while questions on geographic issues  (while using GeoTools) should be asked on https://gis.stackexchange.com."
tpl-dataflow,"TPL Dataflow (TDF) is a .NET library for building concurrent applications. It promotes actor/agent-oriented designs through primitives for in-process message passing, dataflow, and pipelining. TDF builds upon the TPL (Task Parallel Library) in .NET 4 and integrates with async language support in C#, Visual Basic, and F#.  TDF lacks join/merge by key (like SSIS) and time-based windowing (available in Rx)."
gettext,Gettext is an internationalization and localization (i18n) library which is commonly used for writing multilingual programs. Its most popular implementation is that of the GNU project.
devextreme,"DevExtreme is a commercial application framework made by DevExpress. It is based on HTML5 and JavaScript and can generate native applications for smartphones and tablets (Windows Phone, iOS and Android) and responsive webapps for a traditional desktop."
agent-based-modeling,"Agent-based modeling is a computer simulation method where agents make decisions based on their interactions with each other and their environment. It combines elements of game theory, complex systems, emergence, computational sociology, multi-agent systems, and evolutionary programming."
image-gallery,An image gallery is set up to display multiple images. They can be basic or creative. Basic ones often have a grid layout with all of the images showing at once. More creative ones are often created using javascript and css3 and include animations and transitions.
gbm,"R package gbm, implementing Generalized Boosted Regression Models library."
opencv-contour,"THIS TAG IS PENDING REMOVAL. Instead, please use [opencv] and [contour] tags. (More information: https://meta.stackoverflow.com/questions/385792) In openCV,Contours can be explained simply as a curve joining all the continuous points (along the boundary), having same color or intensity. The contours are a useful tool for shape analysis and object detection and recognition. "
node-telegram-bot-api,"Node.js Telegram Bot API
Node.js module to interact with official Telegram Bot API. "
mobile,The tag Mobile should be used to mark questions regarding mobile computing issues. Mobile computing is a form of human–computer interaction by which a computer is expected to be transported during normal usage. Examples include smartphones and tablets.
git-flow,"The git-flow workflow defines a strict branching model designed around a project release. It provides a robust framework for managing larger projects. Use this tag for help with applying git-flow to your workflow, or for help with the supporting scripts (either the original scripts or the AVH Edition)."
yum,"yum is a software package manager that installs, updates, and removes packages on RPM-based systems. "
cql,"CQL (Cassandra Query Language) is used to interact with and query Cassandra tables. Its syntax is similar to SQL, helping to lower the learning curve to working with Cassandra. For the Cypher graph query language, use the cypher tag."
nas,"NAS or Network-Attached Storage is file-level computer data storage connected to a computer network providing data access to clients. It mainly operates as a file server and is specialized for this by its hardware, software or a mix of those. Most NASes offer many accessing algorithms (like Samba, FTP, SSH and many more) and can host a website, stream multimedia and do many more tasks."
lint,"Please tag questions about static analysis tools &quot;static-analysis&quot; unless they&#39;re actually about the Lint utility. One of the first static analyzers was the Lint utility which appeared in 1979 as part of the Unix 7 distribution kit.  Lint was originally used to analyze C source code.  This command was so popular that the word &quot;lint&quot; has become the generic term for static analysis tools.
"
refresh,"The periodic energizing required to maintain the contents of computer memory, screen, etc. It can refer also to the update of a display to show the latest version of the data."
uitapgesturerecognizer,UITapGestureRecognizer is a concrete subclass of UIGestureRecognizer that looks for single or multiple taps.
vim-fzf,
yeoman,"Yeoman is a command-line tool for frontend web development. As a &quot;web application boilerplate,&quot; its main features include project scaffolding, a build process based in part on Grunt.js, and package management for updating project dependencies."
android-listview,a subclass of AdapterView which shows items in a vertically scrolling list.
do-while,"A do while loop, sometimes just called a do loop, is a control flow statement that allows code to be executed repeatedly based on a given Boolean condition. "
rsocket-java,
java-sealed-type,
single-table-inheritance,Single table inheritance is the simplest of several ways to design SQL tables that reflect a class/subclass or generalization/specialization relationship.
scipy,SciPy is an open source library of algorithms and mathematical tools for the Python programming language.
group-by,"GROUP BY is a command in the SQL relational database standard for collapsing a group of rows that share common field value(s) into a single row. Aggregate functions can be performed on other fields in the group, such as SUM() or AVG(), to collate related data into a single value."
oculusquest,
jsoneditor,
workspace,An area of memory (RAM or disk based) for which to perform operations.
python-import,For questions about importing modules in Python
fzf,fzf is a general-purpose command-line fuzzy finder written in Go.
assertk,
linux-mint,Linux Mint is an operating system based on the Linux distribution Ubuntu.
gnome-terminal,"The default GNOME desktop terminal emulator, allowing users to execute commands using a real UNIX shell while remaining on their graphical desktop."
kibana-6,Use this tag for topics specific to version 6 of the data exploration and visualization tool Kibana. Use it together with [kibana] and / or [elasticsearch]
ionic3,"Ionic 3 is the newer version of Ionic, an open source SDK that enables developers to build mobile apps using standard web technologies (HTML, CSS, and JavaScript).

Ionic 3 is paired with Angular4 and above."
keyboard-input,
keychain,A keychain is an encrypted container that holds passwords for multiple applications and secure services. Apple Inc. uses keychains as password management system in Mac OS and iOS.
preview,User Interface action to display a preliminary or scaled down version of the actual item.
immutability-helper,
paketo,"Paketo buildpacks are a set of modular Buildpacks, written in Go. Paketo Buildpacks provide language runtime support for applications. They leverage the Cloud Native Buildpacks framework to make image builds easy, performant, and secure. Use this tag when asking questions about or experiencing problems with buildpacks published under the Paketo brand."
oslog,
react-test-renderer,"This package provides an experimental React renderer that can be used to render React components to pure JavaScript objects, without depending on the DOM or a native mobile environment.
"
spatial-query,a special type of database query on geodata
libgdx,"LibGDX is an open-source cross-platform Java game development framework based on OpenGL (ES) that works on Windows, Linux, Mac OS X, Android, iOS and WebGL enabled browsers."
advanced-custom-fields,"Advanced Custom Fields is a free WordPress plugin which acts as a GUI layer for custom fields. Custom fields are native to WP and appear on pages, posts and custom post types, however the native custom field interface is not very user friendly. ACF uses field groups to attach fields to edit screens."
stereotype,
vuejs3,"Use this tag for questions specific to version 3 of Vue.js, an open-source, progressive Javascript framework for building user interfaces.

"
kubedb,
entity-framework-migrations,"Migrations is a feature of Entity Framework that provides for detecting changes to a code(or database)-first model, and upgrading the database (or the model) schema based on those changes."
split,"Use this tag for questions about separating an item (e.g. a string) into parts, often by a delimiter or regular expression."
body-parser,node.js body parsing middleware
bookdown,bookdown is an R package for authors to write books and long-form articles using R Markdown
numpy-ndarray,Numpy Ndarray refers to the N-dimensional array type that describes the collection of the same type in the Python library NumPy.  Use this tag for questions related to this array type.
sql-server-2008,Use this tag for questions specific to the 2008 version of Microsoft&#39;s SQL Server.
cupertino-widgets,
iis-manager,The management tool to manage IIS (Internet Information Services)
scoped-lock,
ipdb,"Interactive Python Debugger, IPython-interface to pdb"
dynamics-365-operations,"Microsoft Dynamics AX is one of Microsoft’s Enterprise Resource Planning software products. It is part of the Microsoft Dynamics family. The early versions (from 1.0 to 3.0) were called Axapta, while the later versions (from 3.0 SP6 to AX 2012) are called Dynamics AX. This tag refers to the successor of AX 2012, also known as Dynamics 365 for Finance and Operations."
google-assist-api,
materialized-views,"A materialized view is a database object that contains the results of a query. They can be local copies of data located remotely, or can be used to create summary tables based on aggregations of a table&#39;s data. Materialized views are also known as snapshots."
fileshare,
jlink,jlink is a tool used in Java 9 or higher to assemble and optimize a set of modules and their dependencies into a custom runtime image. The tag can be used along with java9 or above tag mostly.
xlaunch,
premailer,
acumatica,"Acumatica is a cloud- and browser-based enterprise resource planning system (ERP), which can be customized and extended via an SDK and interoperated with via a web services API."
induction,"Anything related to mathematical induction principle and techniques applied to computing. Please DO NOT USE this tag for math-only questions since they are off-topic on SO. This tag may be used for math-related questions only if it involves some programming activity or software tools (e.g. automatic theorem proving, etc.)."
flask-mail,The Flask-Mail extension provides a simple interface to set up SMTP with your Flask application and to send messages from your views and scripts.
pymc,"PyMc is a Python module for providing Bayesian statistical models, algorithms and estimations. Two versions are currently widely used: 2 and 3, that are significantly different. Version 2 is not supported anymore, but version 3 is not fully compatible with previous codes and translating a V2-code to V3 is not always straightforward. If you have a PyMc question specific to V3, consider using the [pymc3] tag in addition to the [pymc] tag."
utc,UTC stands for Coordinated Universal Time - it is the time standard by which the world regulates clocks and time.
formidable,"A node.js module for parsing form data, especially file uploads."
copy-paste,"For issues relating to cut, copy, and paste operations."
cython,Cython is a superset of the Python language for quickly generating Python C extensions.
data-lake,
privileges,"This tag is for questions relating to the general topic of privileges, without reference to any specific operating system or application.
"
indy-node,
roboflow,"A computer vision ETL platform for image processing, annotation conversion, dataset inspection, and model training."
llvmlite,"Use this tag for questions about llvmlite, a lightweight LLVM python binding for writing JIT compilers"
println,"In programming, `println` generally prints out the arguments given, then moves to a new line for subsequent output."
default-initialization,This is the initialization performed when a variable is constructed with no initializer.
projekktor,"Projekktor is a self-hosted, open source video (and audio) player for the web, written in Javascript."
branch,"A &quot;branch&quot; is a term used in version control systems to represent an independent line of development. Depending on the system, a repository can contain one or more branches. Branches are merged when changes need to propagate from one branch into another."
clangpowertools,Clang Power Tools is a Visual Studio extension helping C++ developers modernize and transform their code to C++11/14/17/20 standards by using LLVM&#39;s static analyzer and CppCoreGuidelines.
next-redux-wrapper,
azure-blob-storage,"Azure Blob Storage is a cloud service for storing unstructured binary data. It is a part of the Microsoft Azure family of cloud services. Blobs can be of any file type. azure blobs can be Block or Page oriented. Block blobs are optimized for sequential read, while Page blobs are optimized for random read. A single Block Blob can be up to 200 GB in size and a single Page blob - up to 2 TB."
java-ee-6,Use this tag for questions relating specifically to Java Enterprise Edition 6.
intentservice,IntentService is a special implementation of Android service component.
tcltk,The tcltk package is an embedding of Tcl/Tk in R. Use tcl and tk tags for the actual Tcl and Tk software packages themselves.
portforwarding,"Port forwarding or port mapping is a name given to the combined technique of
translating the address and/or port number of a packet to a new destination,
possibly accepting such packet(s) in a packet filter (firewall),
or forwarding the packet according to the routing table."
android-profiler,"Questions related to new Android-Profiling, including monitoring apps CPU, memory, and network activity. This also includes analyzing captured heap dumps, viewing memory allocations, and inspect the details of network-transmitted files."
oracle-apex,"Oracle Application Express (Oracle APEX) is a rapid Web application development tool that lets you share data and create applications. Using only a Web browser and limited programming experience, you can develop and deploy applications that are fast and secure."
timespan,"An elapsed measurement of time between two events or during which an event, program or a function continues.  Also known as a timedelta or a duration."
dplyr,"Use this tag for questions relating to functions from the dplyr package, such as group_by, summarize, filter, and select.
"
jsse,"JSSE is a Java implementation of Secure Sockets Layer (SSL) and Transport Layer Security (TLS) protocols. Its functionality includes data encryption, server authentication, message integrity, and optional client authentication."
pulseaudio,"PulseAudio is a sound system for POSIX OSes, it is a proxy for your sound applications. It allows you to do advanced operations on your sound data as it passes between your application and your hardware. Things like transferring the audio to a different machine, changing the sample format or channel count and mixing several sounds into one are easily achieved using a sound server."
fody-propertychanged,Fody add-in for injecting INotifyPropertyChanged code into properties
either,"Either is a type used in functional languages such as Haskell and Scala to represent a value that is one of two parametrized types.  In Scala, the Either type is often used as an alternative to scala.Option where Left represents failure (by convention) and Right is akin to Some."
discovery,
sockets,"An endpoint of a bi-directional inter-process communication flow. This often refers to a process flow over a network connection, but by no means is limited to such. Not to be confused with WebSocket (a protocol) or other abstractions (e.g. socket.io)."
autoscroll,A behaviour of a control that allows automatic scrolling capability.
jfr,"JRockit/Java/JDK Flight Recorder (JFR), a performance monitoring and profiling tool"
code-analysis,"Code Analysis is the process of analyzing the code of the application to discover, review, validate or verify certain properties of the application. This is useful during the process of development and for testing the application before it is put in production mode, especially for checking the security related aspects. "
java-io,"The java.io package provides blocking input and output through data streams, serialization, and the file system.
"
angular-cdk-virtual-scroll,
asp.net-web-api2,ASP.NET Web API 2 is a framework for building HTTP services for clients like browsers and mobile devices. It is based on the Microsoft .NET Framework and an ideal choice for building RESTful services.
thread-synchronization,"In a multi-threaded environment thread synchronization is used to coordinate access to shared resources such as file handles, network connections, and memory"
binomial-heap,"A binomial heap is a type of priority queue data structure implemented as a forest of binomial trees.  Binomial heaps support fast insertion, deletion, and merging."
file-read,
git-log,Shows the commit logs of a Git repo
express-session,Simple session middleware for Express
python-py,"The &quot;python-py&quot; tag is for questions relating to the Python &quot;py&quot; executable. The &quot;py&quot; command is also known as the Python Launcher, first released with Python 3.3."
x86-64,x86-64 is a 64 bit extension to the Intel x86 architecture
npm-live-server,NPM live-server is a software module for Node.js that allows users to create and manage a simple HTTP server that includes live-reloading capabilities.
moodle,Moodle is an open source learning management system (LMS) written in PHP.
azure-synapse,"Questions about Azure Synapse Analytics, bringing together enterprise data warehousing and big data analytics."
nsdiffabledatasourcesnapshot,
nodes,"Nodes are the basic units used to build data structures such as linked lists and trees.
"
sign-in-with-apple,
julia-flux,
applescript,"AppleScript is an end user scripting language that has been available in Mac computers since System 7 Pro (7.1.1). It allows for automation of system tasks, communication between processes, and creation of workflows, amongst other functions."
logout,The process of terminating an authenticated session.
mozjpeg,"mozjpeg is Mozilla JPEG Encoder Project. It&#39;s like libjpeg, but it has vastly improved (in terms of compression/quality efficiency) JPEG encoder. This project&#39;s goal is to reduce the size of JPEG files without reducing quality or compatibility with the vast majority of the world&#39;s deployed decoders."
android-strictmode,This mode helps a developer to identify potential bugs in an app.
azure-cosmosdb-tables,Azure Cosmos DB Table API - used for questions that are using Azure Cosmos DB via the Table API SDK.
keras,"Keras is a neural network library providing a high-level API in Python and R. Use this tag for questions relating to how to use this API. Please also include the tag for the language/backend ([python], [r], [tensorflow], [theano], [cntk]) that you are using. If you are using tensorflow&#39;s built-in keras, use the [tf.keras] tag."
vispy,Vispy is a high-performance interactive 2D/3D data visualization library. Vispy uses the OpenGL library to access the power of modern GPUs to display very large datasets.
inline-svg,Tag to be used for question regarding inline use of scalable vector graphic (SVG) images.
jss,Use this tag for questions about JSS - a Javascript tool for CSS.
asp.net-core-webapi,Questions about ASP.NET Core web APIs and web apps that are not dependent on MVC Views or Razor Pages
laravel-mail,"Laravel provides a clean, simple API over the popular SwiftMailer library with drivers for SMTP, Mailgun, SparkPost, Amazon SES, and sendmail, allowing you to quickly get started sending mail through a local or cloud-based service of your choice."
tinkerpop3,"Apache TinkerPop™ is an open source graph technology stack, providing a storage agnostic interface to graph databases and graph analytics frameworks. Tinkerpop 3.x represents a major change in the API  since 2.x given a complete re-write with Java 8 and refined thinking with respect to graph traversal mechanisms for both OLTP and OLAP."
delphi-run-time-library,
jms,"The Java Message Service (JMS) API is a Java Message Oriented Middleware (MOM) API for sending messages between two or more clients. JMS is a part of the Java Platform, Enterprise Edition, and is defined by a specification developed under the Java Community Process."
ieee-754,"IEEE 754 is the most common &amp; widely used floating-point standard, notably the single-precision binary32 aka float and double-precision binary64 aka double formats."
font-face,@font-face is a CSS rule that allows the definition of embedded fonts within a webpage.
shared-ptr,Reference counted smart pointer class implementing shared ownership
data-partitioning,"Data partitioning deals with the dividing of a collection of data into smaller collections of data for the purpose of faster processing, easier statistics gathering and smaller memory/persistence footprint."
continuous-deployment,A software engineering approach in which teams keep producing software in short cycles and ensure that the software can be released to production at any time.
nosuchmethod,
logistic-regression,Logistic regression is a statistical classification model used for making categorical predictions.
bluebird,Bluebird is a fully featured promise library for client and server JavaScript with focus on innovative features and performance.
spp,Serial Port Profile (SPP) defines how to set up virtual serial ports and connect two Bluetooth enabled devices
geode,"Apache Geode is an open source, distributed in-memory database for scale-out applications that is a top level project at The Apache Software Foundation. Apache Geode started with a 1 million code line grant by Pivotal Software of much of the Pivotal GemFire commercial code base."
bitwise-operators,"Operators which are used to perform manipulation at bit-level.The programming languages are Byte oriented whereas the hardware is bit oriented.Therefore, being able to operate on bit level can be very important in programming,especially when the program directly interact with the hardware."
attention-model,Questions regarding attention model mechanism in  deep learning
geo,geo is the abbreviation for the term &quot;geographic&quot;. It includes handling of geographic coordinates and vectors for display and calculation purpose. 
javascript-import,"For questions about the `import` keyword for ES6 modules
"
license-maven-plugin,
voip,"Voice over Internet Protocol (VoIP) is one of a family of internet technologies, communication protocols, and transmission technologies for delivery of voice communications and multimedia sessions over Internet Protocol (IP) networks, such as the Internet. VoIP protocols can be further subdivided into Signalling and Media Protocols. Signalling protocols are used to establish VoIP sessions while the Media Protocols carry actual voice traffic."
sceneform,"The Sceneform SDK provides a high-level scene graph API, high-performance 3D renderer, and Android Studio tooling to make it easy for Android developers to work with 3D without having to know OpenGL.
"
treetableview,Questions about the usage of the JavaFx TreeTableView should use this tag.
findviewbyid,findViewById(int id) is a method of the View and Activity classes. This method will take a resource Id usually in the form of R.id.mView and will return to you a View object that is a reference to that View. Note that the returned object will nearly always need to be cast to the correct type of View before you can start interacting with it. If a View by the given ID does not exist within the current activity or parent View then you will receive null.
image-preprocessing,
